Apr-25-2015 20:37:07	105.451721	0	87	80	0	80	0	4	31
Apr-25-2015 20:40:50	189.605983	2	206	188	0	168	20	9	192
Apr-25-2015 20:43:58	184.444816	3	267	126	1	126	0	6	131
Apr-25-2015 20:45:00	52.45346	3	48	80	2	80	0	1	77
Apr-25-2015 20:48:20	199.974953	2	110	230	3	160	70	1	192
Apr-25-2015 20:55:00	69.171871	0	39	185	0	140	45	0	76
Apr-25-2015 21:05:06	164.272702	0	130	216	0	184	32	4	113
Apr-25-2015 21:07:21	130.023734	3	196	156	0	156	0	5	87
Apr-26-2015 14:25:15	168.966853	2	114	90	0	60	30	0	34
Apr-26-2015 14:31:43	73.530876	0	5	100	0	70	30	0	58
Apr-26-2015 14:33:00	62.86789	0	7	55	0	0	55	0	31
Apr-26-2015 14:35:04	103.740517	0	43	240	0	210	30	1	104
Apr-26-2015 14:36:43	93.626072	1	64	110	1	80	30	0	52
Apr-26-2015 14:38:35	107.720764	3	207	90	4	90	0	0	51
Apr-26-2015 14:55:52	162.538004	3	117	200	2	200	0	6	127
Apr-26-2015 15:03:45	199.960877	1	169	190	0	190	0	3	117
Apr-26-2015 15:09:05	46.45547	0	39	65	6	0	65	1	40
Apr-28-2015 02:46:41	26.123194	0	0	0	0	0	0	0	0
Apr-28-2015 02:47:25	36.778334	3	155	120	0	120	0	0	47
Apr-28-2015 02:48:15	40.793013	1	64	60	0	60	0	0	20
Apr-28-2015 03:11:57	77.422851	0	131	190	0	180	10	0	78
Apr-28-2015 03:15:06	29.66078	0	45	20	0	20	0	0	7
Apr-28-2015 03:15:27	17.789946	0	40	40	0	20	20	0	13
Apr-28-2015 13:44:31	13.785781	0	0	0	0	0	0	0	0
Apr-28-2015 14:42:36	39.774007	1	55	70	0	70	0	0	52
Apr-28-2015 14:43:02	17.391807	0	27	120	0	70	50	0	37
Apr-28-2015 14:43:40	33.23714	1	97	128	0	104	24	0	45
Apr-28-2015 14:44:47	59.362741	0	147	175	0	106	69	0	59
Apr-28-2015 14:45:42	48.994313	1	119	150	0	120	30	0	57
Apr-28-2015 14:46:24	36.407887	1	83	40	0	40	0	0	49
